,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
2830,Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas,Biography Drama Romance,the sea inside,Belén Rueda Lola Dueñas Tamar Novas Alejandro Amenábar Biography Drama Romance
2831,Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,Drama Horror Sci-Fi Thriller,under the skin,Scarlett Johansson Paul Brannigan Alison Chand Jonathan Glazer Drama Horror Sci-Fi Thriller
2832,Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby,Biography Comedy Drama War,"good morning, vietnam",Robin Williams J.T. Walsh Bruno Kirby Barry Levinson Biography Comedy Drama War
2833,Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,Comedy,the last godfather,Jason Mewes Stephanie Danielson Michael Rispoli Hyung-rae Shim Comedy
2834,Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,Documentary Music,justin bieber: never say never,Usher Raymond Sean Kingston Boys II Men Jon M. Chu Documentary Music
2835,Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,Drama Thriller,black swan,Natalie Portman Mila Kunis Mark Margolis Darren Aronofsky Drama Thriller
2836,José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,robocop,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Sci-Fi Thriller
2837,Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,Crime Drama,the godfather: part ii,Robert De Niro Al Pacino Robert Duvall Francis Ford Coppola Crime Drama
2838,Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Drama Music Romance,save the last dance,Sean Patrick Thomas Terry Kinney Fredro Starr Thomas Carter Drama Music Romance
2839,Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,Fantasy Horror Thriller,a nightmare on elm street 4: the dream master,Tuesday Knight Rodney Eastman Brooke Bundy Renny Harlin Fantasy Horror Thriller
2840,Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,Drama,miracles from heaven,Jennifer Garner Brighton Sharbino Martin Henderson Patricia Riggen Drama
2841,Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Comedy Mystery,"dude, where's my car?",Jennifer Garner Mary Lynn Rajskub Marla Sokoloff Danny Leiner Comedy Mystery
2842,Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,Action Crime Drama Thriller Western,young guns,Jack Palance Patrick Wayne Brian Keith Christopher Cain Action Crime Drama Thriller Western
2843,Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey,Comedy Drama,st. vincent,Bill Murray Naomi Watts Reg E. Cathey Theodore Melfi Comedy Drama
2844,Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,Comedy Romance,about last night,Joe Lo Truglio Regina Hall Bryan Callen Steve Pink Comedy Romance
2845,Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Comedy Drama Romance,10 things i hate about you,Joseph Gordon-Levitt Heath Ledger Andrew Keegan Gil Junger Comedy Drama Romance
2846,Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,Comedy,the new guy,Zooey Deschanel Eddie Griffin Gene Simmons Ed Decter Comedy
2847,Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,Action Comedy Crime,loaded weapon 1,Jon Lovitz Lin Shaye Bill Nunn Gene Quintano Action Comedy Crime
2848,Jaume Collet-Serra,Óscar Jaenada,Brett Cullen,Sedona Legge,Drama Horror Thriller,the shallows,Óscar Jaenada Brett Cullen Sedona Legge Jaume Collet-Serra Drama Horror Thriller
2849,Eric Bress,Logan Lerman,Eric Stoltz,Cameron Bright,Sci-Fi Thriller,the butterfly effect,Logan Lerman Eric Stoltz Cameron Bright Eric Bress Sci-Fi Thriller
2850,Chris Koch,Chris Elliott,Mark Webber,Jean Smart,Adventure Comedy Family,snow day,Chris Elliott Mark Webber Jean Smart Chris Koch Adventure Comedy Family
2851,Preston A. Whitmore II,Mekhi Phifer,Chris Brown,Loretta Devine,Comedy Drama Romance,this christmas,Mekhi Phifer Chris Brown Loretta Devine Preston A. Whitmore II Comedy Drama Romance
2852,Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee,Comedy Crime Family Sci-Fi,baby geniuses,Kathleen Turner Dom DeLuise Ruby Dee Bob Clark Comedy Crime Family Sci-Fi
2853,Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Action Comedy Crime Thriller,the big hit,Bokeem Woodbine Elliott Gould Antonio Sabato Jr. Kirk Wong Action Comedy Crime Thriller
2854,Bronwen Hughes,Gregory Smith,Eartha Kitt,Charlotte Sullivan,Comedy Drama Family,harriet the spy,Gregory Smith Eartha Kitt Charlotte Sullivan Bronwen Hughes Comedy Drama Family
2855,John Lafia,Jenny Agutter,Beth Grant,Greg Germann,Fantasy Horror,child's play 2,Jenny Agutter Beth Grant Greg Germann John Lafia Fantasy Horror
2856,Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons,Crime Thriller,no good deed,Leslie Bibb Kate del Castillo Henry Simmons Sam Miller Crime Thriller
2857,Frank Darabont,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Horror,the mist,Toby Jones Alexa Davalos Jeffrey DeMunn Frank Darabont Horror
2858,Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,Drama Mystery Sci-Fi Thriller,ex machina,Elina Alminas Sonoya Mizuno Corey Johnson Alex Garland Drama Mystery Sci-Fi Thriller
2859,Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place,Comedy Drama Fantasy,being john malkovich,Willie Garson Orson Bean Mary Kay Place Spike Jonze Comedy Drama Fantasy
2860,Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones,Comedy Romance,two can play that game,Mo'Nique Vivica A. Fox Tamala Jones Mark Brown Comedy Romance
2861,Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Adventure Family Sci-Fi,earth to echo,Teo Halm Ella Wahlestedt Jason Gray-Stanford Dave Green Adventure Family Sci-Fi
2862,John Stockwell,Kirsten Dunst,Jay Hernandez,Rolando Molina,Drama Romance,crazy/beautiful,Kirsten Dunst Jay Hernandez Rolando Molina John Stockwell Drama Romance
2863,Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Drama History War,letters from iwo jima,Yuki Matsuzaki Kazunari Ninomiya Shidô Nakamura Clint Eastwood Drama History War
2864,Michael Polish,J.K. Simmons,Virginia Madsen,Bruce Dern,Adventure Drama Sci-Fi,the astronaut farmer,J.K. Simmons Virginia Madsen Bruce Dern Michael Polish Adventure Drama Sci-Fi
2865,Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle,Comedy Romance,woo,LL Cool J Jada Pinkett Smith Dave Chappelle Daisy von Scherler Mayer Comedy Romance
2866,Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar,Drama,room,Joan Allen Jacob Tremblay Cas Anvar Lenny Abrahamson Drama
2867,Bob Saget,Don Rickles,Jack Warden,Traylor Howard,Comedy,dirty work,Don Rickles Jack Warden Traylor Howard Bob Saget Comedy
2868,John Waters,Kathleen Turner,Sam Waterston,Traci Lords,Comedy Crime Thriller,serial mom,Kathleen Turner Sam Waterston Traci Lords John Waters Comedy Crime Thriller
2869,Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Comedy,dick,Ryan Reynolds Will Ferrell Kirsten Dunst Andrew Fleming Comedy
2870,Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,Action Crime Mystery Thriller,del 1 - män som hatar kvinnor            ,Michael Nyqvist David Dencik Lena Endre Niels Arden Oplev Action Crime Mystery Thriller
2871,Craig Bolotin,Rosario Dawson,Vanessa Williams,Robert Ri'chard,Drama Thriller,light it up,Rosario Dawson Vanessa Williams Robert Ri'chard Craig Bolotin Drama Thriller
2872,Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,Drama Music,54,Salma Hayek Ellen Albertini Dow Sela Ward Mark Christopher Drama Music
2873,Blair Hayes,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Adventure Comedy Romance Sci-Fi,bubble boy,Jake Gyllenhaal Geoffrey Arend Marley Shelton Blair Hayes Adventure Comedy Romance Sci-Fi
2874,Jez Butterworth,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Comedy Crime Thriller,birthday girl,Mark Gatiss Mathieu Kassovitz Ben Chaplin Jez Butterworth Comedy Crime Thriller
2875,Jon Lucas,Justin Chon,Josie Loren,Sarah Wright,Comedy,21 & over,Justin Chon Josie Loren Sarah Wright Jon Lucas Comedy
2876,Olivier Assayas,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Comedy Drama Romance,"paris, je t'aime",Steve Buscemi Miranda Richardson Catalina Sandino Moreno Olivier Assayas Comedy Drama Romance
2877,Rod Lurie,Harry Lennix,Kathryn Morris,Peter Coyote,Drama Sport,resurrecting the champ,Harry Lennix Kathryn Morris Peter Coyote Rod Lurie Drama Sport
2878,Paul Weitz,Tina Fey,Sarita Choudhury,Christopher Evan Welch,Comedy Drama Romance,admission,Tina Fey Sarita Choudhury Christopher Evan Welch Paul Weitz Comedy Drama Romance
2879,Patrice Leconte,Emir Kusturica,Daniel Auteuil,Yves Jacques,Drama Romance,the widow of saint-pierre,Emir Kusturica Daniel Auteuil Yves Jacques Patrice Leconte Drama Romance
2880,Atom Egoyan,Liam Neeson,Meghan Heffern,Natalie Lisinska,Drama Mystery Romance Thriller,chloe,Liam Neeson Meghan Heffern Natalie Lisinska Atom Egoyan Drama Mystery Romance Thriller
2881,Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Comedy Crime Drama,faithful,Chazz Palminteri Ryan O'Neal Paul Mazursky Paul Mazursky Comedy Crime Drama
2882,Jim Sheridan,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,Drama Thriller,brothers,Natalie Portman Jake Gyllenhaal Ethan Suplee Jim Sheridan Drama Thriller
2883,Sidney Lumet,Peter Dinklage,Vin Diesel,Alex Rocco,Biography Comedy Crime Drama,find me guilty,Peter Dinklage Vin Diesel Alex Rocco Sidney Lumet Biography Comedy Crime Drama
2884,Stephen Chbosky,Logan Lerman,Ezra Miller,Kate Walsh,Drama Romance,the perks of being a wallflower,Logan Lerman Ezra Miller Kate Walsh Stephen Chbosky Drama Romance
2885,Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,Action,excessive force,Burt Young Ian Gomez Thomas Ian Griffith Jon Hess Action
2886,Douglas McGrath,Toby Jones,Isabella Rossellini,Hope Davis,Biography Crime Drama,infamous,Toby Jones Isabella Rossellini Hope Davis Douglas McGrath Biography Crime Drama
2887,Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson,Drama Romance Western,the claim,Milla Jovovich Sarah Polley Shirley Henderson Michael Winterbottom Drama Romance Western
2888,Mark Neveldine,Djimon Hounsou,Alison Lohman,Dougray Scott,Horror Thriller,the vatican tapes,Djimon Hounsou Alison Lohman Dougray Scott Mark Neveldine Horror Thriller
2889,Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker,Action Comedy Sci-Fi Thriller,attack the block,John Boyega Luke Treadaway Jodie Whittaker Joe Cornish Action Comedy Sci-Fi Thriller
2890,Angelina Jolie Pitt,Jelena Jovanova,Nikola Djuricko,Branko Djuric,Drama Romance War,in the land of blood and honey,Jelena Jovanova Nikola Djuricko Branko Djuric Angelina Jolie Pitt Drama Romance War
2891,Brad Anderson,Michael Imperioli,Tara Platt,Roma Maffia,Crime Thriller,the call,Michael Imperioli Tara Platt Roma Maffia Brad Anderson Crime Thriller
2892,John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,Action Drama History War,operation chromite,Liam Neeson Dean Dawson Jung-jae Lee John H. Lee Action Drama History War
2893,John Stainton,Steve Irwin,Aden Young,Steve Bastoni,Action Adventure Comedy Family,the crocodile hunter: collision course,Steve Irwin Aden Young Steve Bastoni John Stainton Action Adventure Comedy Family
2894,Glenn Ficarra,Dameon Clarke,Louis Herthum,Annie Golden,Biography Comedy Crime Drama Romance,i love you phillip morris,Dameon Clarke Louis Herthum Annie Golden Glenn Ficarra Biography Comedy Crime Drama Romance
2895,Jean-Jacques Annaud,Rae Dawn Chong,Everett McGill,Gary Schwartz,Adventure Drama History,quest for fire,Rae Dawn Chong Everett McGill Gary Schwartz Jean-Jacques Annaud Adventure Drama History
2896,Denzel Washington,Denzel Washington,Kevin Connolly,Derek Luke,Biography Drama,antwone fisher,Denzel Washington Kevin Connolly Derek Luke Denzel Washington Biography Drama
2897,Michael Hoffman,Gabriel Millman,Embeth Davidtz,Rob Morrow,Drama,the emperor's club,Gabriel Millman Embeth Davidtz Rob Morrow Michael Hoffman Drama
2898,Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,Action Crime Drama Romance Thriller,true romance,Brad Pitt Gary Oldman Michael Rapaport Tony Scott Action Crime Drama Romance Thriller
2899,Benedek Fliegauf,Eva Green,Matt Smith,Hannah Murray,Drama Romance Sci-Fi,womb,Eva Green Matt Smith Hannah Murray Benedek Fliegauf Drama Romance Sci-Fi
2900,James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella,Crime Drama Mystery,glengarry glen ross,Kevin Spacey Al Pacino Jude Ciccolella James Foley Crime Drama Mystery
2901,Michael Winterbottom,Liam Aiken,Ned Beatty,Jay R. Ferguson,Crime Drama Thriller,the killer inside me,Liam Aiken Ned Beatty Jay R. Ferguson Michael Winterbottom Crime Drama Thriller
2902,Paul Schrader,Ed Begley Jr.,Ruby Dee,John Heard,Fantasy Horror Thriller,cat people,Ed Begley Jr. Ruby Dee John Heard Paul Schrader Fantasy Horror Thriller
2903,Stewart Hendler,Julian Morris,Margo Harshman,Rumer Willis,Horror Mystery,sorority row,Julian Morris Margo Harshman Rumer Willis Stewart Hendler Horror Mystery
2904,John Cromwell,David Niven,Mary Astor,Ronald Colman,Adventure Drama Romance,the prisoner of zenda,David Niven Mary Astor Ronald Colman John Cromwell Adventure Drama Romance
2905,Craig Gillespie,Ryan Gosling,Kelli Garner,Paul Schneider,Comedy Drama Romance,lars and the real girl,Ryan Gosling Kelli Garner Paul Schneider Craig Gillespie Comedy Drama Romance
2906,Mark Herman,Richard Johnson,Sheila Hancock,Cara Horgan,Drama War,the boy in the striped pajamas,Richard Johnson Sheila Hancock Cara Horgan Mark Herman Drama War
2907,Lars von Trier,Catherine Deneuve,Udo Kier,Björk,Crime Drama Musical,dancer in the dark,Catherine Deneuve Udo Kier Björk Lars von Trier Crime Drama Musical
2908,Gillian Armstrong,Tom Wilkinson,Richard Roxburgh,Clive Russell,Drama Romance,oscar and lucinda,Tom Wilkinson Richard Roxburgh Clive Russell Gillian Armstrong Drama Romance
2909,Abel Ferrara,Isabella Rossellini,Vincent Gallo,Gretchen Mol,Crime Drama,the funeral,Isabella Rossellini Vincent Gallo Gretchen Mol Abel Ferrara Crime Drama
2910,Brian Koppelman,Jenna Fischer,David Costabile,Richard Schiff,Comedy Drama Romance,solitary man,Jenna Fischer David Costabile Richard Schiff Brian Koppelman Comedy Drama Romance
2911,Ethan Maniquis,Robert De Niro,Don Johnson,Cheech Marin,Action Crime Thriller,machete,Robert De Niro Don Johnson Cheech Marin Ethan Maniquis Action Crime Thriller
2912,George Hickenlooper,Kevin Spacey,Eric Schweig,Christian Campbell,Biography Comedy Crime Drama,casino jack,Kevin Spacey Eric Schweig Christian Campbell George Hickenlooper Biography Comedy Crime Drama
2913,Don Bluth,Judith Barsi,Gabriel Damon,Bill Erwin,Adventure Animation Family,the land before time,Judith Barsi Gabriel Damon Bill Erwin Don Bluth Adventure Animation Family
2914,Je-kyu Kang,Min-sik Choi,Bin Won,Dong-gun Jang,Action Drama War,tae guk gi: the brotherhood of war,Min-sik Choi Bin Won Dong-gun Jang Je-kyu Kang Action Drama War
2915,William Dear,Clifton Collins Jr.,Cheech Marin,Bruce McGill,Comedy Drama Family Sport,the perfect game,Clifton Collins Jr. Cheech Marin Bruce McGill William Dear Comedy Drama Family Sport
2916,William Friedkin,Ellen Burstyn,Linda Blair,Lee J. Cobb,Horror,the exorcist,Ellen Burstyn Linda Blair Lee J. Cobb William Friedkin Horror
2917,Steven Spielberg,Roy Scheider,Robert Shaw,Murray Hamilton,Adventure Drama Thriller,jaws,Roy Scheider Robert Shaw Murray Hamilton Steven Spielberg Adventure Drama Thriller
2918,Paul Weitz,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,american pie,Alyson Hannigan Shannon Elizabeth Natasha Lyonne Paul Weitz Comedy
2919,Stéphane Aubier,Mackenzie Foy,Megan Mullally,Lambert Wilson,Animation Comedy Crime Drama Family,ernest & celestine,Mackenzie Foy Megan Mullally Lambert Wilson Stéphane Aubier Animation Comedy Crime Drama Family
2920,Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Action Adventure Comedy Fantasy Mystery,the golden child,Victor Wong Randall 'Tex' Cobb Charlotte Lewis Michael Ritchie Action Adventure Comedy Fantasy Mystery
2921,Tim Story,Chris Brown,Romany Malco,Regina Hall,Comedy Romance,think like a man,Chris Brown Romany Malco Regina Hall Tim Story Comedy Romance
2922,Tim Story,Sean Patrick Thomas,Jason George,Cedric the Entertainer,Comedy Drama,barbershop,Sean Patrick Thomas Jason George Cedric the Entertainer Tim Story Comedy Drama
2923,Nicholas Meyer,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,Action Adventure Sci-Fi,star trek ii: the wrath of khan,Leonard Nimoy Kirstie Alley Nichelle Nichols Nicholas Meyer Action Adventure Sci-Fi
2924,Tom Shadyac,Sean Young,Udo Kier,David Margulies,Comedy,ace ventura: pet detective,Sean Young Udo Kier David Margulies Tom Shadyac Comedy
2925,John Badham,Matthew Broderick,Barry Corbin,Ally Sheedy,Sci-Fi Thriller,wargames,Matthew Broderick Barry Corbin Ally Sheedy John Badham Sci-Fi Thriller
2926,Peter Weir,Harrison Ford,Viggo Mortensen,Lukas Haas,Crime Drama Romance Thriller,witness,Harrison Ford Viggo Mortensen Lukas Haas Peter Weir Crime Drama Romance Thriller
2927,Mike McCoy,Alex Veadov,Jason Cottle,Rorke Denver,Action Adventure Drama Thriller War,act of valor,Alex Veadov Jason Cottle Rorke Denver Mike McCoy Action Adventure Drama Thriller War
2928,Anne Fletcher,Channing Tatum,Alyson Stoner,Josh Henderson,Crime Drama Music Romance,step up,Channing Tatum Alyson Stoner Josh Henderson Anne Fletcher Crime Drama Music Romance
2929,Mike Judge,Bruce Willis,Demi Moore,John Doman,Adventure Animation Comedy Crime,beavis and butt-head do america,Bruce Willis Demi Moore John Doman Mike Judge Adventure Animation Comedy Crime
2930,Quentin Tarantino,Robert De Niro,Sid Haig,Robert Forster,Crime Thriller,jackie brown,Robert De Niro Sid Haig Robert Forster Quentin Tarantino Crime Thriller
2931,Jon Hurwitz,Danneel Ackles,Eric Winter,Beverly D'Angelo,Adventure Comedy,harold & kumar escape from guantanamo bay,Danneel Ackles Eric Winter Beverly D'Angelo Jon Hurwitz Adventure Comedy
2932,Josh Trank,Michael Kelly,Alex Russell,Ashley Hinshaw,Drama Sci-Fi Thriller,chronicle,Michael Kelly Alex Russell Ashley Hinshaw Josh Trank Drama Sci-Fi Thriller
2933,Barbra Streisand,Miriam Margolyes,Amy Irving,Steven Hill,Drama Musical Romance,yentl,Miriam Margolyes Amy Irving Steven Hill Barbra Streisand Drama Musical Romance
2934,Terry Gilliam,Shelley Duvall,Michael Palin,Kenny Baker,Adventure Comedy Fantasy Sci-Fi,time bandits,Shelley Duvall Michael Palin Kenny Baker Terry Gilliam Adventure Comedy Fantasy Sci-Fi
2935,Tamra Davis,Britney Spears,Katherine Boecher,Dave Allen,Comedy Drama,crossroads,Britney Spears Katherine Boecher Dave Allen Tamra Davis Comedy Drama
2936,Nima Nourizadeh,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,Comedy Crime,project x,Dax Flame Kirby Bliss Blanton Oliver Cooper Nima Nourizadeh Comedy Crime
2937,Franklin J. Schaffner,George C. Scott,Karl Malden,Bill Hickman,Biography Drama War,patton,George C. Scott Karl Malden Bill Hickman Franklin J. Schaffner Biography Drama War
2938,Mark Romanek,Robin Williams,Gary Cole,Connie Nielsen,Drama Thriller,one hour photo,Robin Williams Gary Cole Connie Nielsen Mark Romanek Drama Thriller
2939,John Erick Dowdle,Andrew Fiscella,Jay Hernandez,Dania Ramirez,Horror Sci-Fi Thriller,quarantine,Andrew Fiscella Jay Hernandez Dania Ramirez John Erick Dowdle Horror Sci-Fi Thriller
2940,David Moreau,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,Horror Mystery,the eye,Chloë Grace Moretz Alessandro Nivola Obba Babatundé David Moreau Horror Mystery
2941,Christopher Erskin,Vanessa Williams,Shannon Elizabeth,Shad Moss,Comedy,johnson family vacation,Vanessa Williams Shannon Elizabeth Shad Moss Christopher Erskin Comedy
2942,Jesse Dylan,Hector Elizondo,Fred Willard,T.J. Thyne,Comedy Fantasy,how high,Hector Elizondo Fred Willard T.J. Thyne Jesse Dylan Comedy Fantasy
2943,Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire,Comedy Drama Family Fantasy Musical,the muppet christmas carol,Steven Mackintosh Jerry Nelson Steve Whitmire Brian Henson Comedy Drama Family Fantasy Musical
2944,Martin Campbell,Eva Green,Tobias Menzies,Ivana Milicevic,Action Adventure Thriller,casino royale,Eva Green Tobias Menzies Ivana Milicevic Martin Campbell Action Adventure Thriller
2945,Julie Taymor,Salma Hayek,Roger Rees,Valeria Golino,Biography Drama Romance,frida,Salma Hayek Roger Rees Valeria Golino Julie Taymor Biography Drama Romance
2946,Dan Cutforth,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Documentary Music,katy perry: part of me,Lexie Contursi Ashley Ashida Dixon Anthony Burrell Dan Cutforth Documentary Music
2947,Josh Boone,Shailene Woodley,Sam Trammell,Nat Wolff,Drama Romance,the fault in our stars,Shailene Woodley Sam Trammell Nat Wolff Josh Boone Drama Romance
2948,John Dahl,Matt Damon,Martin Landau,Gretchen Mol,Crime Drama,rounders,Matt Damon Martin Landau Gretchen Mol John Dahl Crime Drama
2949,Chris Rock,Rosario Dawson,Romany Malco,J.B. Smoove,Comedy Romance,top five,Rosario Dawson Romany Malco J.B. Smoove Chris Rock Comedy Romance
2950,John Frankenheimer,Talia Shire,Richard Dysart,Robert Foxworth,Horror Sci-Fi,prophecy,Talia Shire Richard Dysart Robert Foxworth John Frankenheimer Horror Sci-Fi
2951,David Koepp,Illeana Douglas,Kathryn Erbe,Lusia Strus,Horror Mystery Thriller,stir of echoes,Illeana Douglas Kathryn Erbe Lusia Strus David Koepp Horror Mystery Thriller
2952,unknown,Peter Mensah,Kelvin Taylor,Viva Bianca,Action Adventure Biography Drama History,spartacus: war of the damned            ,Peter Mensah Kelvin Taylor Viva Bianca unknown Action Adventure Biography Drama History
2953,Stephen Frears,Steve Coogan,Mare Winningham,Peter Hermann,Biography Drama,philomena,Steve Coogan Mare Winningham Peter Hermann Stephen Frears Biography Drama
2954,Mike Binder,Alicia Witt,Erika Christensen,Joan Allen,Comedy Drama,the upside of anger,Alicia Witt Erika Christensen Joan Allen Mike Binder Comedy Drama
2955,Franklin J. Schaffner,Laurence Olivier,Anne Meara,Steve Guttenberg,Drama Thriller,the boys from brazil,Laurence Olivier Anne Meara Steve Guttenberg Franklin J. Schaffner Drama Thriller
2956,Elizabeth Allen Rosenbaum,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,Comedy Family Fantasy Romance,aquamarine,Tammin Sursok Joanna 'JoJo' Levesque Dichen Lachman Elizabeth Allen Rosenbaum Comedy Family Fantasy Romance
2957,Jake Schreier,Nat Wolff,Cara Delevingne,Meg Crosbie,Drama Mystery Romance,paper towns,Nat Wolff Cara Delevingne Meg Crosbie Jake Schreier Drama Mystery Romance
2958,Cheryl Dunye,Michael Imperioli,Marsha Thomason,Bai Ling,Comedy,my baby's daddy,Michael Imperioli Marsha Thomason Bai Ling Cheryl Dunye Comedy
2959,Alexander Payne,Devin Ratray,Bruce Dern,Will Forte,Adventure Comedy Drama,nebraska,Devin Ratray Bruce Dern Will Forte Alexander Payne Adventure Comedy Drama
2960,Ernest R. Dickerson,CCH Pounder,Jada Pinkett Smith,Gary Farmer,Action Fantasy Horror Thriller,tales from the crypt: demon knight,CCH Pounder Jada Pinkett Smith Gary Farmer Ernest R. Dickerson Action Fantasy Horror Thriller
2961,Tim Hill,Noel Fisher,Amber Valletta,Larry Miller,Comedy Crime Family,max keeble's big move,Noel Fisher Amber Valletta Larry Miller Tim Hill Comedy Crime Family
2962,Jason Reitman,Charlize Theron,Patton Oswalt,Collette Wolfe,Comedy Drama,young adult,Charlize Theron Patton Oswalt Collette Wolfe Jason Reitman Comedy Drama
2963,Mark Neveldine,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Action Crime Thriller,crank,Jason Statham Edi Gathegi Jose Pablo Cantillo Mark Neveldine Action Crime Thriller
2964,Lionel C. Martin,Bernie Mac,Gilbert Gottfried,Lark Voorhies,Comedy,how to be a player,Bernie Mac Gilbert Gottfried Lark Voorhies Lionel C. Martin Comedy
2965,Richard LaGravenese,Holly Hunter,Eddie Cibrian,Jenette Goldstein,Comedy Drama Romance,living out loud,Holly Hunter Eddie Cibrian Jenette Goldstein Richard LaGravenese Comedy Drama Romance
2966,Sanaa Hamri,Common,Laz Alonso,Mehcad Brooks,Comedy Romance Sport,just wright,Common Laz Alonso Mehcad Brooks Sanaa Hamri Comedy Romance Sport
2967,Jonathan Demme,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,Drama Romance,rachel getting married,Anne Hathaway Rosemarie DeWitt Bill Irwin Jonathan Demme Drama Romance
2968,Bob Rafelson,Anjelica Huston,Michael Lerner,John Colicos,Crime Drama Romance Thriller,the postman always rings twice,Anjelica Huston Michael Lerner John Colicos Bob Rafelson Crime Drama Romance Thriller
2969,Peter Webber,Scarlett Johansson,Colin Firth,Tom Wilkinson,Biography Drama Romance,girl with a pearl earring,Scarlett Johansson Colin Firth Tom Wilkinson Peter Webber Biography Drama Romance
2970,Wolfgang Petersen,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,Adventure Drama Thriller War,das boot,Jürgen Prochnow Martin Semmelrogge Herbert Grönemeyer Wolfgang Petersen Adventure Drama Thriller War
2971,John Lee Hancock,Dennis Quaid,Marc Blucas,Jordi Mollà,Drama History War Western,the alamo,Dennis Quaid Marc Blucas Jordi Mollà John Lee Hancock Drama History War Western
2972,Wallace Wolodarsky,Heather Matarazzo,Barry Watson,Harland Williams,Comedy,sorority boys,Heather Matarazzo Barry Watson Harland Williams Wallace Wolodarsky Comedy
2973,Richard Curtis,Tom Hughes,Tom Hollander,Lindsay Duncan,Drama Fantasy Romance,about time,Tom Hughes Tom Hollander Lindsay Duncan Richard Curtis Drama Fantasy Romance
2974,Yimou Zhang,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,Action Adventure Drama Romance,house of flying daggers,Takeshi Kaneshiro Andy Lau Zhengyong Zhang Yimou Zhang Action Adventure Drama Romance
2975,Nicholas Jarecki,Nate Parker,Curtiss Cook,Reg E. Cathey,Drama Thriller,arbitrage,Nate Parker Curtiss Cook Reg E. Cathey Nicholas Jarecki Drama Thriller
2976,Dean Israelite,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,Sci-Fi Thriller,project almanac,Gary Weeks Jonny Weston Sofia Black-D'Elia Dean Israelite Sci-Fi Thriller
