actor_1_name,actor_2_name,actor_3_name,comb,director_name,genres,movie_title
Michaela Conlin,T.J. Thyne,Tamara Taylor,Michaela Conlin T.J. Thyne Tamara Taylor unknown Comedy Crime Drama Mystery Romance,unknown,Comedy Crime Drama Mystery Romance,bones            
Ethan Suplee,Beverly D'Angelo,Stacy Keach,Ethan Suplee Beverly D'Angelo Stacy Keach Tony Kaye Crime Drama,Tony Kaye,Crime Drama,american history x
Daniel Sharman,Johanna Braddy,Lee Tergesen,Daniel Sharman Johanna Braddy Lee Tergesen Marcus Dunstan Action Horror Thriller,Marcus Dunstan,Action Horror Thriller,the collection
Nathan Lane,Kelsey Grammer,Jerry Stiller,Nathan Lane Kelsey Grammer Jerry Stiller Timothy Björklund Animation Comedy Family Fantasy Musical,Timothy Björklund,Animation Comedy Family Fantasy Musical,teacher's pet
Johannes Silberschneider,Clotilde Mollet,Carlo Cecchi,Johannes Silberschneider Clotilde Mollet Carlo Cecchi François Girard Drama Music Mystery Romance,François Girard,Drama Music Mystery Romance,the red violin
Sissy Spacek,Richard Farnsworth,Everett McGill,Sissy Spacek Richard Farnsworth Everett McGill David Lynch Biography Drama,David Lynch,Biography Drama,the straight story
Norman Reedus,James Franco,Frankie Muniz,Norman Reedus James Franco Frankie Muniz Scott Kalvert Action Crime Drama,Scott Kalvert,Action Crime Drama,deuces wild
Beth Grant,Philip Baker Hall,Patricia Belcher,Beth Grant Philip Baker Hall Patricia Belcher Jason Bateman Comedy Drama,Jason Bateman,Comedy Drama,bad words
Dylan Moran,Iddo Goldberg,India de Beaufort,Dylan Moran Iddo Goldberg India de Beaufort David Schwimmer Comedy Romance Sport,David Schwimmer,Comedy Romance Sport,"run, fatboy, run"
Bernadette Peters,Randy Quaid,Christopher Guest,Bernadette Peters Randy Quaid Christopher Guest Allan Arkush Comedy Sci-Fi,Allan Arkush,Comedy Sci-Fi,heartbeeps
Jennifer Ehle,Gillian Jacobs,Jillian Estell,Jennifer Ehle Gillian Jacobs Jillian Estell Mike Binder Drama,Mike Binder,Drama,black or white
Jerry Stiller,Tamala Jones,Dave Foley,Jerry Stiller Tamala Jones Dave Foley Eric Bross Comedy Family Romance,Eric Bross,Comedy Family Romance,on the line
Christian Bale,Toby Huss,François Chau,Christian Bale Toby Huss François Chau Werner Herzog Adventure Biography Drama War,Werner Herzog,Adventure Biography Drama War,rescue dawn
Al Pacino,Jennifer Garner,Melissa Benoist,Al Pacino Jennifer Garner Melissa Benoist Dan Fogelman Comedy Drama Music,Dan Fogelman,Comedy Drama Music,danny collins
Judy Greer,Evan Ross,Rae Dawn Chong,Judy Greer Evan Ross Rae Dawn Chong Jay Duplass Comedy Drama,Jay Duplass,Comedy Drama,"jeff, who lives at home"
Flavio Parenti,Waris Ahluwalia,Alba Rohrwacher,Flavio Parenti Waris Ahluwalia Alba Rohrwacher Luca Guadagnino Drama Romance,Luca Guadagnino,Drama Romance,i am love
Robert Picardo,Diedrich Bader,Esai Morales,Robert Picardo Diedrich Bader Esai Morales John Putch Drama Mystery Sci-Fi,John Putch,Drama Mystery Sci-Fi,atlas shrugged ii: the strike
Gary Oldman,Michael Wincott,Lena Olin,Gary Oldman Michael Wincott Lena Olin Peter Medak Action Crime Drama Thriller,Peter Medak,Action Crime Drama Thriller,romeo is bleeding
Peter Fonda,Lesley Ann Warren,William Lucking,Peter Fonda Lesley Ann Warren William Lucking Steven Soderbergh Crime Drama Mystery Thriller,Steven Soderbergh,Crime Drama Mystery Thriller,the limey
Eric Stoltz,Anthony LaPaglia,Elizabeth McGovern,Eric Stoltz Anthony LaPaglia Elizabeth McGovern Terence Davies Drama Romance,Terence Davies,Drama Romance,the house of mirth
Cliff Robertson,Tracey Walter,Dennis Burkley,Cliff Robertson Tracey Walter Dennis Burkley Harley Cokeliss Action Drama Thriller,Harley Cokeliss,Action Drama Thriller,malone
Scott Mechlowicz,Tim DeKay,Agnes Bruckner,Scott Mechlowicz Tim DeKay Agnes Bruckner Victor Salva Drama Romance Sport,Victor Salva,Drama Romance Sport,peaceful warrior
Don Johnson,Kevin Nealon,Nicholas Turturro,Don Johnson Kevin Nealon Nicholas Turturro Tom Brady Comedy,Tom Brady,Comedy,bucky larson: born to be a star
Gillian White,Michael Rapaport,Jada Pinkett Smith,Gillian White Michael Rapaport Jada Pinkett Smith Spike Lee Comedy Drama Music,Spike Lee,Comedy Drama Music,bamboozled
Eoin Macken,Stephanie Vogt,Gen Seto,Eoin Macken Stephanie Vogt Gen Seto Jason Zada Horror Mystery Thriller,Jason Zada,Horror Mystery Thriller,the forest
Frank Langella,William Hootkins,John Gielgud,Frank Langella William Hootkins John Gielgud Franklin J. Schaffner Adventure Mystery Thriller,Franklin J. Schaffner,Adventure Mystery Thriller,sphinx
Naomi Watts,Maria Dizzia,Dree Hemingway,Naomi Watts Maria Dizzia Dree Hemingway Noah Baumbach Comedy Drama,Noah Baumbach,Comedy Drama,while we're young
Demián Bichir,Eddie 'Piolin' Sotelo,Robert Peters,Demián Bichir Eddie 'Piolin' Sotelo Robert Peters Chris Weitz Drama Romance,Chris Weitz,Drama Romance,a better life
Miranda Richardson,John Neville,Lynn Redgrave,Miranda Richardson John Neville Lynn Redgrave David Cronenberg Drama Mystery Thriller,David Cronenberg,Drama Mystery Thriller,spider
Liam Neeson,Oliver Platt,Mitch Pileggi,Liam Neeson Oliver Platt Mitch Pileggi Eric Blakeney Comedy Crime Romance,Eric Blakeney,Comedy Crime Romance,gun shy
Charlie Hunnam,Anne Hathaway,Jim Broadbent,Charlie Hunnam Anne Hathaway Jim Broadbent Douglas McGrath Drama Romance,Douglas McGrath,Drama Romance,nicholas nickleby
Chris Evans,James Franco,Robert Davi,Chris Evans James Franco Robert Davi Ariel Vromen Biography Crime Drama,Ariel Vromen,Biography Crime Drama,the iceman
Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,Krystyna Janda Olaf Lubaszenko Olgierd Lukaszewicz unknown Drama,unknown,Drama,dekalog            
Naseeruddin Shah,Rekha,Sharat Saxena,Naseeruddin Shah Rekha Sharat Saxena Rakesh Roshan Action Adventure Romance Sci-Fi,Rakesh Roshan,Action Adventure Romance Sci-Fi,krrish
Alicia Witt,Melanie Griffith,Kevin Nealon,Alicia Witt Melanie Griffith Kevin Nealon John Waters Comedy Crime Thriller,John Waters,Comedy Crime Thriller,cecil b. demented
Matthew McConaughey,Scott A. Martin,Carol Sutton,Matthew McConaughey Scott A. Martin Carol Sutton William Friedkin Crime Drama Romance Thriller,William Friedkin,Crime Drama Romance Thriller,killer joe
Demi Moore,Gary Cole,Robert Pralgo,Demi Moore Gary Cole Robert Pralgo Derrick Borte Comedy Drama,Derrick Borte,Comedy Drama,the joneses
Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,Philip Seymour Hoffman Minnie Driver Maury Chaykin Richard Kwietniowski Crime Drama Thriller,Richard Kwietniowski,Crime Drama Thriller,owning mahowny
Jenna Fischer,Lee Majors,Will Forte,Jenna Fischer Lee Majors Will Forte Bob Odenkirk Comedy,Bob Odenkirk,Comedy,the brothers solomon
Natalie Portman,Norah Jones,Adriane Lenox,Natalie Portman Norah Jones Adriane Lenox Kar-Wai Wong Drama Romance,Kar-Wai Wong,Drama Romance,my blueberry nights
Beverly D'Angelo,Ben Gazzara,George DiCenzo,Beverly D'Angelo Ben Gazzara George DiCenzo John Turturro Drama,John Turturro,Drama,illuminata
Bruce Greenwood,Jeanne Tripplehorn,David Thornton,Bruce Greenwood Jeanne Tripplehorn David Thornton Guy Ritchie Comedy Romance,Guy Ritchie,Comedy Romance,swept away
Bashar Rahal,Sergej Trifunovic,Ned Bellamy,Bashar Rahal Sergej Trifunovic Ned Bellamy Joshua Seftel Action Comedy Thriller,Joshua Seftel,Action Comedy Thriller,"war, inc."
Wei Zhao,Karen Mok,Kwok-Kwan Chan,Wei Zhao Karen Mok Kwok-Kwan Chan Stephen Chow Action Comedy Sport,Stephen Chow,Action Comedy Sport,shaolin soccer
Vincent Gallo,Cheryl Tiegs,Anna Vareschi,Vincent Gallo Cheryl Tiegs Anna Vareschi Vincent Gallo Drama,Vincent Gallo,Drama,the brown bunny
Isabelle Huppert,François Cluzet,Michel Serrault,Isabelle Huppert François Cluzet Michel Serrault Claude Chabrol Comedy Crime Thriller,Claude Chabrol,Comedy Crime Thriller,the swindle
Numan Acar,Claire Foy,Haluk Bilginer,Numan Acar Claire Foy Haluk Bilginer Jon Stewart Biography Drama,Jon Stewart,Biography Drama,rosewater
Olivier Martinez,Aitana Sánchez-Gijón,Romane Bohringer,Olivier Martinez Aitana Sánchez-Gijón Romane Bohringer Bigas Luna Drama Romance,Bigas Luna,Drama Romance,the chambermaid on the titanic
Gerard Butler,Ashraf Barhom,Lubna Azabal,Gerard Butler Ashraf Barhom Lubna Azabal Ralph Fiennes Drama Thriller War,Ralph Fiennes,Drama Thriller War,coriolanus
Kip Pardue,Ryan Donowho,Larry Fessenden,Kip Pardue Ryan Donowho Larry Fessenden Dan Harris Comedy Drama,Dan Harris,Comedy Drama,imaginary heroes
Minnie Driver,Danny Dyer,Mary McCormack,Minnie Driver Danny Dyer Mary McCormack Mel Smith Action Comedy Drama,Mel Smith,Action Comedy Drama,high heels and low lifes
Robin Williams,Daryl Sabara,Henry Simmons,Robin Williams Daryl Sabara Henry Simmons Bobcat Goldthwait Comedy Drama,Bobcat Goldthwait,Comedy Drama,world's greatest dad
Danny Dyer,Toby Stephens,Laura Harris,Danny Dyer Toby Stephens Laura Harris Christopher Smith Comedy Horror Thriller,Christopher Smith,Comedy Horror Thriller,severance
Joe Mantegna,Dulé Hill,Jeffrey Combs,Joe Mantegna Dulé Hill Jeffrey Combs Stuart Gordon Drama Thriller,Stuart Gordon,Drama Thriller,edmond
Kristen Stewart,Ally Sheedy,Kerry Cahill,Kristen Stewart Ally Sheedy Kerry Cahill Jake Scott Drama,Jake Scott,Drama,welcome to the rileys
Christopher Lee,Michael Winslow,G.W. Bailey,Christopher Lee Michael Winslow G.W. Bailey Alan Metter Comedy Crime,Alan Metter,Comedy Crime,police academy: mission to moscow
Ricky Schroder,Nate Parker,Lee Norris,Ricky Schroder Nate Parker Lee Norris Jeb Stuart Drama,Jeb Stuart,Drama,blood done sign my name
Jorge Luis Moreno,Andrés Montiel,William Miller,Jorge Luis Moreno Andrés Montiel William Miller Rafa Lara Drama History War,Rafa Lara,Drama History War,"cinco de mayo, la batalla"
Chris Noth,Jared Gilman,James Brolin,Chris Noth Jared Gilman James Brolin Michael Radford Comedy Drama Romance,Michael Radford,Comedy Drama Romance,elsa & fred
Eric Idle,Harvey Weinstein,Ryan O'Neal,Eric Idle Harvey Weinstein Ryan O'Neal Arthur Hiller Comedy,Arthur Hiller,Comedy,an alan smithee film: burn hollywood burn
Jeff Bridges,Justin Timberlake,Ted Danson,Jeff Bridges Justin Timberlake Ted Danson Michael Meredith Comedy Drama,Michael Meredith,Comedy Drama,the open road
Adrian Martinez,Scott Porter,Aaron Yoo,Adrian Martinez Scott Porter Aaron Yoo Julio DePietro Comedy Romance,Julio DePietro,Comedy Romance,the good guy
Stephanie Szostak,Minnie Driver,Anthony Edwards,Stephanie Szostak Minnie Driver Anthony Edwards Katherine Dieckmann Comedy Drama,Katherine Dieckmann,Comedy Drama,motherhood
Madison Pettis,Corbin Bleu,Sandra Echeverría,Madison Pettis Corbin Bleu Sandra Echeverría William Dear Drama,William Dear,Drama,free style
Nicholas Hamilton,Reef Ireland,Sean Keenan,Nicholas Hamilton Reef Ireland Sean Keenan Kim Farrant Drama Mystery Thriller,Kim Farrant,Drama Mystery Thriller,strangerland
Mike Epps,Tamala Jones,Glenn Plummer,Mike Epps Tamala Jones Glenn Plummer Marcus Raboy Comedy Crime Music,Marcus Raboy,Comedy Crime Music,the janky promoters
Drew Fuller,Drew Waters,Larry Miller,Drew Fuller Drew Waters Larry Miller Scott Marshall Comedy Romance,Scott Marshall,Comedy Romance,blonde ambition
Jim Carter,Leonor Watling,Danny Sapani,Jim Carter Leonor Watling Danny Sapani Álex de la Iglesia Crime Mystery Thriller,Álex de la Iglesia,Crime Mystery Thriller,the oxford murders
Damian Walshe-Howling,Gyton Grantley,Adrienne Pickering,Damian Walshe-Howling Gyton Grantley Adrienne Pickering Andrew Traucki Horror Thriller,Andrew Traucki,Horror Thriller,the reef
Zooey Deschanel,Rip Torn,Kelly Preston,Zooey Deschanel Rip Torn Kelly Preston Michael Clancy Comedy Drama,Michael Clancy,Comedy Drama,eulogy
Teryl Rothery,Craig Fairbrass,Adrian Holmes,Teryl Rothery Craig Fairbrass Adrian Holmes Patrick Lussier Drama Fantasy Horror Thriller,Patrick Lussier,Drama Fantasy Horror Thriller,white noise 2: the light
Shane Pollard,Mishael Morgan,Chase Armitage,Shane Pollard Mishael Morgan Chase Armitage Robert Adetuyi Drama Music,Robert Adetuyi,Drama Music,you got served: beat the world
Jim Sturgess,Kevin Zegers,Michael McElhatton,Jim Sturgess Kevin Zegers Michael McElhatton Kari Skogland Drama Thriller,Kari Skogland,Drama Thriller,fifty dead men walking
Drake Bell,Tom Arnold,Amanda Troop,Drake Bell Tom Arnold Amanda Troop Taedong Park Adventure Animation,Taedong Park,Adventure Animation,jungle shuffle
Veronica Ferres,Ayelet Zurer,Derek Jacobi,Veronica Ferres Ayelet Zurer Derek Jacobi Paul Schrader Drama War,Paul Schrader,Drama War,adam resurrected
Ingvar Eggert Sigurðsson,Charlotte Bøving,Sigríður María Egilsdóttir,Ingvar Eggert Sigurðsson Charlotte Bøving Sigríður María Egilsdóttir Benedikt Erlingsson Comedy Drama Romance,Benedikt Erlingsson,Comedy Drama Romance,of horses and men
Sendhil Ramamurthy,Mark Addy,Shabana Azmi,Sendhil Ramamurthy Mark Addy Shabana Azmi Gurinder Chadha Comedy Drama Horror Romance,Gurinder Chadha,Comedy Drama Horror Romance,it's a wonderful afterlife
Ray Winstone,Henry Rollins,Jason London,Ray Winstone Henry Rollins Jason London Jason Connery Action Horror Sci-Fi,Jason Connery,Action Horror Sci-Fi,the devil's tomb
Jimi Mistry,Jesse Moss,John Light,Jimi Mistry Jesse Moss John Light Vic Sarin Drama Romance,Vic Sarin,Drama Romance,partition
Elaine Hendrix,Luke Perry,Jon Gries,Elaine Hendrix Luke Perry Jon Gries Jim Issa Comedy,Jim Issa,Comedy,good intentions
Kang-ho Song,Woo-sung Jung,Dal-su Oh,Kang-ho Song Woo-sung Jung Dal-su Oh Jee-woon Kim Action Adventure Comedy Western,Jee-woon Kim,Action Adventure Comedy Western,"the good, the bad, the weird"
Boris Kodjoe,Katrina Bowden,Kathleen Turner,Boris Kodjoe Katrina Bowden Kathleen Turner Douglas Aarniokoski Horror Thriller,Douglas Aarniokoski,Horror Thriller,nurse 3d
Tyler Mane,Callum Rennie,Dustin Milligan,Tyler Mane Callum Rennie Dustin Milligan William Phillips Action Comedy Drama Western,William Phillips,Action Comedy Drama Western,gunless
Kristen Stewart,Martin Starr,Wendie Malick,Kristen Stewart Martin Starr Wendie Malick Greg Mottola Comedy Drama Romance,Greg Mottola,Comedy Drama Romance,adventureland
Danny Pino,Victor Rivers,Enrique Murciano,Danny Pino Victor Rivers Enrique Murciano Andy Garcia Drama Romance,Andy Garcia,Drama Romance,the lost city
John Witherspoon,Mike Epps,Rolando Molina,John Witherspoon Mike Epps Rolando Molina Steve Carr Comedy,Steve Carr,Comedy,next friday
Hayden Christensen,Jordana Brewster,Akon,Hayden Christensen Jordana Brewster Akon Sarik Andreasyan Action Crime Drama Thriller,Sarik Andreasyan,Action Crime Drama Thriller,american heist
Donald Pleasence,Burt Kwouk,Desmond Llewelyn,Donald Pleasence Burt Kwouk Desmond Llewelyn Lewis Gilbert Action Adventure Thriller,Lewis Gilbert,Action Adventure Thriller,you only live twice
Mem Ferda,Alfie Allen,Malese Jow,Mem Ferda Alfie Allen Malese Jow Julian Gilbey Action Comedy Crime Drama,Julian Gilbey,Action Comedy Crime Drama,plastic
Isabelle Huppert,Emmanuelle Riva,Jean-Louis Trintignant,Isabelle Huppert Emmanuelle Riva Jean-Louis Trintignant Michael Haneke Drama Romance,Michael Haneke,Drama Romance,amour
Tom Skerritt,Heather O'Rourke,Zelda Rubinstein,Tom Skerritt Heather O'Rourke Zelda Rubinstein Gary Sherman Horror Thriller,Gary Sherman,Horror Thriller,poltergeist iii
Daniella Alonso,Roger Cross,Jesse Garcia,Daniella Alonso Roger Cross Jesse Garcia Valeri Milev Action Horror,Valeri Milev,Action Horror,re-kill
Jonathan Winters,Sid Caesar,Spencer Tracy,Jonathan Winters Sid Caesar Spencer Tracy Stanley Kramer Action Adventure Comedy Crime,Stanley Kramer,Action Adventure Comedy Crime,"it's a mad, mad, mad, mad world"
Carmen Maura,Lola Dueñas,Antonio de la Torre,Carmen Maura Lola Dueñas Antonio de la Torre Pedro Almodóvar Comedy Crime Drama Mystery,Pedro Almodóvar,Comedy Crime Drama Mystery,volver
John Vernon,Joe Flaherty,Don Francks,John Vernon Joe Flaherty Don Francks Gerald Potterton Adventure Animation Fantasy Horror Sci-Fi,Gerald Potterton,Adventure Animation Fantasy Horror Sci-Fi,heavy metal
Jizelle Jade,Michael Angarano,Héctor Jiménez,Jizelle Jade Michael Angarano Héctor Jiménez Jared Hess Adventure Comedy Sci-Fi,Jared Hess,Adventure Comedy Sci-Fi,gentlemen broncos
Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,Robert Downey Jr. Jim Broadbent Kristin Scott Thomas Richard Loncraine Drama War,Richard Loncraine,Drama War,richard iii
Scott Glenn,Michaela McManus,Luisa D'Oliveira,Scott Glenn Michaela McManus Luisa D'Oliveira David Hackl Action Horror Thriller,David Hackl,Action Horror Thriller,into the grizzly maze
Bárbara Mori,Steven Michael Quezada,Kabir Bedi,Bárbara Mori Steven Michael Quezada Kabir Bedi Anurag Basu Action Drama Romance Thriller,Anurag Basu,Action Drama Romance Thriller,kites
Alexander Skarsgård,Kirsten Dunst,Charlotte Rampling,Alexander Skarsgård Kirsten Dunst Charlotte Rampling Lars von Trier Drama Sci-Fi,Lars von Trier,Drama Sci-Fi,melancholia
Noah Taylor,Keisha Castle-Hughes,Luke Ford,Noah Taylor Keisha Castle-Hughes Luke Ford Kriv Stenders Biography Comedy Drama Family Romance,Kriv Stenders,Biography Comedy Drama Family Romance,red dog
Shah Rukh Khan,Katrina Kaif,Vic Waghorn,Shah Rukh Khan Katrina Kaif Vic Waghorn Yash Chopra Drama Romance,Yash Chopra,Drama Romance,jab tak hai jaan
Tom Skerritt,Yaphet Kotto,Bolaji Badejo,Tom Skerritt Yaphet Kotto Bolaji Badejo Ridley Scott Horror Sci-Fi,Ridley Scott,Horror Sci-Fi,alien
Kristen Stewart,Scout Taylor-Compton,Johnny Lewis,Kristen Stewart Scout Taylor-Compton Johnny Lewis Floria Sigismondi Biography Drama Music,Floria Sigismondi,Biography Drama Music,the runaways
Topol,Paul Michael Glaser,Rosalind Harris,Topol Paul Michael Glaser Rosalind Harris Norman Jewison Drama Family Musical Romance,Norman Jewison,Drama Family Musical Romance,fiddler on the roof
Desmond Llewelyn,Earl Cameron,Lois Maxwell,Desmond Llewelyn Earl Cameron Lois Maxwell Terence Young Action Adventure Thriller,Terence Young,Action Adventure Thriller,thunderball
Josh Hutcherson,Shanley Caswell,Parker Bagley,Josh Hutcherson Shanley Caswell Parker Bagley Joseph Kahn Comedy Horror Sci-Fi,Joseph Kahn,Comedy Horror Sci-Fi,detention
Riccardo Scamarcio,Alessandro Preziosi,Lunetta Savino,Riccardo Scamarcio Alessandro Preziosi Lunetta Savino Ferzan Ozpetek Comedy Drama Romance,Ferzan Ozpetek,Comedy Drama Romance,loose cannons
Vivica A. Fox,Jada Pinkett Smith,Blair Underwood,Vivica A. Fox Jada Pinkett Smith Blair Underwood F. Gary Gray Action Crime Drama Romance Thriller,F. Gary Gray,Action Crime Drama Romance Thriller,set it off
Harold Perrineau,Sanaa Lathan,Jarrod Bunch,Harold Perrineau Sanaa Lathan Jarrod Bunch Malcolm D. Lee Comedy Drama,Malcolm D. Lee,Comedy Drama,the best man
Catherine Hicks,Alex Vincent,Dinah Manoff,Catherine Hicks Alex Vincent Dinah Manoff Tom Holland Fantasy Horror,Tom Holland,Fantasy Horror,child's play
Michael Moore,Tucker Albrizzi,Bill Clinton,Michael Moore Tucker Albrizzi Bill Clinton Michael Moore Documentary Drama,Michael Moore,Documentary Drama,sicko
Noel Gugliemi,Zach Gilford,Roberta Valderrama,Noel Gugliemi Zach Gilford Roberta Valderrama James DeMonaco Action Horror Sci-Fi Thriller,James DeMonaco,Action Horror Sci-Fi Thriller,the purge: anarchy
Rosario Dawson,Lauren German,Shawn Hatosy,Rosario Dawson Lauren German Shawn Hatosy Kris Isacsson Comedy Drama Romance,Kris Isacsson,Comedy Drama Romance,down to you
Ethan Embry,Fred Willard,Paula Garcés,Ethan Embry Fred Willard Paula Garcés Danny Leiner Adventure Comedy,Danny Leiner,Adventure Comedy,harold & kumar go to white castle
Jeff Bridges,Gary Oldman,William Petersen,Jeff Bridges Gary Oldman William Petersen Rod Lurie Drama Thriller,Rod Lurie,Drama Thriller,the contender
Vin Diesel,Nia Long,Herbert Russell,Vin Diesel Nia Long Herbert Russell Ben Younger Crime Drama Thriller,Ben Younger,Crime Drama Thriller,boiler room
Don Ameche,Denholm Elliott,Ralph Bellamy,Don Ameche Denholm Elliott Ralph Bellamy John Landis Comedy,John Landis,Comedy,trading places
Oliver Hudson,Crystal Lowe,Andrea Martin,Oliver Hudson Crystal Lowe Andrea Martin Glen Morgan Horror,Glen Morgan,Horror,black christmas
Jennifer Esposito,Tate Taylor,Patrick Cranshaw,Jennifer Esposito Tate Taylor Patrick Cranshaw Daniel Taplitz Comedy Romance,Daniel Taplitz,Comedy Romance,breakin' all the rules
Brian Blessed,Derek Jacobi,Danny Webb,Brian Blessed Derek Jacobi Danny Webb Kenneth Branagh Action Biography Drama History Romance War,Kenneth Branagh,Action Biography Drama History Romance War,henry v
Philip Seymour Hoffman,David Zayas,Gbenga Akinnagbe,Philip Seymour Hoffman David Zayas Gbenga Akinnagbe Tamara Jenkins Comedy Drama,Tamara Jenkins,Comedy Drama,the savages
Carlos Ponce,Freddy Rodríguez,Maria Conchita Alonso,Carlos Ponce Freddy Rodríguez Maria Conchita Alonso Linda Mendoza Comedy Romance,Linda Mendoza,Comedy Romance,chasing papi
Kristin Lehman,Nicky Katt,Dylan Kussman,Kristin Lehman Nicky Katt Dylan Kussman Christopher McQuarrie Action Crime Drama Thriller,Christopher McQuarrie,Action Crime Drama Thriller,the way of the gun
Kieran Culkin,Rory Culkin,Bill Irwin,Kieran Culkin Rory Culkin Bill Irwin Burr Steers Comedy Drama,Burr Steers,Comedy Drama,igby goes down
Jon Favreau,Matt Ross,Chris Young,Jon Favreau Matt Ross Chris Young Hart Bochner Comedy,Hart Bochner,Comedy,pcu
Bill Cobbs,Drew Fuller,Mircea Monroe,Bill Cobbs Drew Fuller Mircea Monroe Michael O. Sajbel Drama Family Romance,Michael O. Sajbel,Drama Family Romance,the ultimate gift
Ronn Moss,Katherine Kelly Lang,Hunter Tylo,Ronn Moss Katherine Kelly Lang Hunter Tylo unknown Drama Romance,unknown,Drama Romance,the bold and the beautiful            
Anjelica Huston,John Carradine,Robert Urich,Anjelica Huston John Carradine Robert Urich Stewart Raffill Action Adventure Comedy Romance Sci-Fi,Stewart Raffill,Action Adventure Comedy Romance Sci-Fi,the ice pirates
Emma Bell,John Doman,Carly Schroeder,Emma Bell John Doman Carly Schroeder Davis Guggenheim Biography Drama Sport,Davis Guggenheim,Biography Drama Sport,gracie
Billy Crudup,Garry Shandling,Dagmara Dominczyk,Billy Crudup Garry Shandling Dagmara Dominczyk Bart Freundlich Comedy Drama Romance,Bart Freundlich,Comedy Drama Romance,trust the man
Steve Coogan,Amy Poehler,David Arquette,Steve Coogan Amy Poehler David Arquette Andrew Fleming Comedy Music,Andrew Fleming,Comedy Music,hamlet 2
Christian Bale,Eddie Izzard,Janet McTeer,Christian Bale Eddie Izzard Janet McTeer Todd Haynes Drama Music,Todd Haynes,Drama Music,velvet goldmine
Jung-min Hwang,Jun Kunimura,Woo-hee Chun,Jung-min Hwang Jun Kunimura Woo-hee Chun Hong-jin Na Fantasy Horror Mystery Thriller,Hong-jin Na,Fantasy Horror Mystery Thriller,the wailing
Lea Michele,Heather Morris,Kevin McHale,Lea Michele Heather Morris Kevin McHale Kevin Tancharoen Documentary Music,Kevin Tancharoen,Documentary Music,glee: the 3d concert movie
Sarunyu Wongkrachang,Chatchai Plengpanich,Mai Charoenpura,Sarunyu Wongkrachang Chatchai Plengpanich Mai Charoenpura Chatrichalerm Yukol Action Adventure Drama History War,Chatrichalerm Yukol,Action Adventure Drama History War,the legend of suriyothai
John Amos,Adrienne Barbeau,Sally Kirkland,John Amos Adrienne Barbeau Sally Kirkland Dario Argento Horror,Dario Argento,Horror,two evil eyes
Lambert Wilson,Julie Engelbrecht,Lionel Abelanski,Lambert Wilson Julie Engelbrecht Lionel Abelanski Eric Lavaine Comedy,Eric Lavaine,Comedy,barbecue
Lesley Manville,Ruth Sheen,Gary McDonald,Lesley Manville Ruth Sheen Gary McDonald Mike Leigh Drama,Mike Leigh,Drama,all or nothing
Q'orianka Kilcher,Will Patton,Shaun Evans,Q'orianka Kilcher Will Patton Shaun Evans Marc Forby Drama,Marc Forby,Drama,princess kaiulani
Jacqueline McKenzie,Vince Colosimo,Peter Callan,Jacqueline McKenzie Vince Colosimo Peter Callan Peter Cattaneo Drama Family,Peter Cattaneo,Drama Family,opal dream
Robert De Niro,Joshua Mikel,D.B. Sweeney,Robert De Niro Joshua Mikel D.B. Sweeney Scott Mann Action Crime Thriller,Scott Mann,Action Crime Thriller,heist
Lars Mikkelsen,Thure Lindhardt,Christian Berkel,Lars Mikkelsen Thure Lindhardt Christian Berkel Ole Christian Madsen Drama History Thriller War,Ole Christian Madsen,Drama History Thriller War,flame and citron
Fisher Stevens,Kip Pardue,Perrey Reeves,Fisher Stevens Kip Pardue Perrey Reeves Meiert Avis Comedy Music Romance,Meiert Avis,Comedy Music Romance,undiscovered
Andrew Garfield,Warren Clarke,John Henshaw,Andrew Garfield Warren Clarke John Henshaw Julian Jarrold Crime Drama Mystery Thriller,Julian Jarrold,Crime Drama Mystery Thriller,red riding: in the year of our lord 1974
Catherine Deneuve,Ronit Elkabetz,Émilie Dequenne,Catherine Deneuve Ronit Elkabetz Émilie Dequenne André Téchiné Drama,André Téchiné,Drama,the girl on the train
Sarah Michelle Gellar,Erika Christensen,Jonathan Tucker,Sarah Michelle Gellar Erika Christensen Jonathan Tucker Emily Young Drama Romance,Emily Young,Drama Romance,veronika decides to die
Paul Hogan,Linda Kozlowski,David Gulpilil,Paul Hogan Linda Kozlowski David Gulpilil Peter Faiman Adventure Comedy,Peter Faiman,Adventure Comedy,crocodile dundee
Sean Pertwee,Steven Waddington,Donald Sumpter,Sean Pertwee Steven Waddington Donald Sumpter Martyn Pick Action Animation Fantasy Horror Mystery Sci-Fi Thriller,Martyn Pick,Action Animation Fantasy Horror Mystery Sci-Fi Thriller,"ultramarines: a warhammer 40,000 movie"
Stephen Graham,Sarah Polley,Stephen Rea,Stephen Graham Sarah Polley Stephen Rea Roland Suso Richter Mystery Sci-Fi Thriller,Roland Suso Richter,Mystery Sci-Fi Thriller,the i inside
Harrison Gilbertson,Gyton Grantley,Steve Le Marquand,Harrison Gilbertson Gyton Grantley Steve Le Marquand Jeremy Sims Drama History War,Jeremy Sims,Drama History War,beneath hill 60
Riccardo Scamarcio,Maïwenn,Karin Viard,Riccardo Scamarcio Maïwenn Karin Viard Maïwenn Crime Drama,Maïwenn,Crime Drama,polisse
